sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1990:3343,top1990,post45_topn,3343,"OH, THE PLACES YOU'LL GO!",Dr. Seuss,1990,1990-02-25,0679805273,20169007.0,1,178
top1990:4734,top1990,post45_topn,4734,THE BURDEN OF PROOF,Scott Turow,1990,1990-06-17,0374117349,21302078.0,1,35
top1990:6019,top1990,post45_topn,6019,THE PLAINS OF PASSAGE,Jean M. Auel,1990,1990-10-21,0517580497,21873762.0,1,29
top1990:4003,top1990,post45_topn,4003,SEPTEMBER,Rosamunde Pilcher,1990,1990-04-22,0312044194,20932164.0,1,26
top1990:4708,top1990,post45_topn,4708,THE BOURNE ULTIMATUM,Robert Ludlum,1990,1990-03-18,0394584082,20320080.0,1,26
top1990:2956,top1990,post45_topn,2956,MEMORIES OF MIDNIGHT,Sidney Sheldon,1990,1990-08-26,0688084885,21336519.0,1,24
top1990:1913,top1990,post45_topn,1913,FOUR PAST MIDNIGHT,Stephen King,1990,1990-09-16,0451170385,21976330.0,1,22
top1990:6721,top1990,post45_topn,6721,THE WITCHING HOUR,Anne Rice,1990,1990-11-11,,21902161.0,2,22
top1990:2974,top1990,post45_topn,2974,MESSAGE FROM NAM,Danielle Steel,1990,1990-06-24,0385299079,20296538.0,2,18
top1990:3575,top1990,post45_topn,3575,POSSESSION,A. S. Byatt,1990,1990-12-23,0394586239,21337703.0,7,18
top1990:1523,top1990,post45_topn,1523,DRAGON,Clive Cussler,1990,1990-05-13,0671626191,21297613.0,3,17
top1990:436,top1990,post45_topn,436,AN INCONVENIENT WOMAN,Dominick Dunne,1990,1990-05-20,0517577631,21197754.0,6,17
top1990:1434,top1990,post45_topn,1434,DEVICES AND DESIRES,P. D. James,1990,1990-01-28,0394580702,19975344.0,1,16
top1990:2618,top1990,post45_topn,2618,LADY BOSS,Jackie Collins,1990,1990-10-07,0671619373,22275142.0,2,16
top1990:4589,top1990,post45_topn,4589,THE BAD PLACE,Dean R. Koontz,1990,1990-01-28,0399134980,20264752.0,1,15
top1990:4134,top1990,post45_topn,4134,SKINNY LEGS AND ALL,Tom Robbins,1990,1990-04-22,0553057758,20669779.0,4,15
top1990:1320,top1990,post45_topn,1320,DAZZLE,Judith Krantz,1990,1990-12-02,0517575019,21333700.0,3,14
top1990:2529,top1990,post45_topn,2529,JURASSIC PARK,Michael Crichton,1990,1990-12-02,0394588169,22511027.0,6,14
